text,labels
Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),0
"Then why no one talking to me Ok, be careful ! Don't text and drive ! The Wild Bunch is pretty cool. Kids watching a scorpion sting itself to death, followed by an incredibly violent robbery/shoot-out in which half the towns-folk and half the robbers get shot. By the end of the first scene, half the cast have already died!",0
"…it is so easy a thing for you to lift me to Seventh Heaven!  My soul was darker than midnight, when your pen said “let there be light.”  and there was light as at the bidding of the Word…  When I read in your looks and words that you love me, I feel it in the deepest part of my soul; and then I care not one straw for the whole Universe beside…",1
"My beloved angel, I am nearly mad about you, as much as one can be mad: I cannot bring together two ideas that you do not interpose yourself between them. I can no longer think of anything but you.  In spite of myself, my imagination carries me to you.  I grasp you, I kiss you, I caress you, a thousand of the most amorous caresses take possession of me. As for my heart, there you will always be – very much so.  I have a delicious sense of you there.  But my God, what is to become of me, if you have deprived me of my reason?  This is a monomania which, this morning, terrifies me. I rise up every moment saying to myself, “Come, I am going there!” Then I sit down again, moved by the sense of my obligations.  There is a frightful conflict.  This is not life.  I have never before been like that.  You have devoured everything. I feel foolish and happy as soon as I think of you.  I whirl round in a delicious dream in which in one instant I live a thousand years. What a horrible situation! Overcome with love, feeling love in every pore, living only for love, and seeing oneself consumed by griefs, and caught in a thousand spiders’ threads. O, my darling Eva, you did not know it.  I picked up your card.  It is there before me, and I talk to you as if you were there.  I see you, as I did yesterday, beautiful, astonishingly beautiful. Yesterday, during the whole evening, I said to myself “she is mine!” Ah!  The angels are not as happy in Paradise as I was yesterday!",1
"I loved it, very scary, and Nicholson was brilliant in it. She ran off with a younger man. we will make pretty babies together :) Oi when you gonna ring",0
"If only I were a clever woman, I could describe to you my gorgeous bird, how you unite in yourself the beauties of form, plumage, and song! I would tell you that you are the greatest marvel of all ages, and I should only be speaking the simple truth.  But to put all this into suitable words, my superb one, I should require a voice far more harmonious than that which is bestowed upon my species – for I am the humble owl that you mocked at only lately, therefore, it cannot be. I will not tell you to what degree you are dazzling and to the birds of sweet song who, as you know, are none the less beautiful and appreciative. I am content to delegate to them the duty of watching, listening and admiring, while to myself I reserve the right of loving; this may be less attractive to the ear, but it is sweeter far to the heart. I love you, I love you.  my Victor; I can not reiterate it too often; I can never express it as much as I feel it. I recognise you in all the beauty that surrounds me  in form, in colour, in perfume, in harmonious sound: all of these mean you to me. You are superior to all.  I see and admire – you are all! You are not only the solar spectrum with the seven luminous colours, but the sun himself, that illumines, warms, and revivifies!  This is what you are, and I am the lowly woman that adores you.",1
I thought he took pills or did he do both just to make sure he passed on whoops that was ledger.,0
"My noble, incomparable Edith, I do not know how to express or analyze the conflicting emotions that have surged like a storm through my heart all night long. I only know that first and foremost in all my thoughts has been the glorious confirmation you gave me last night – without effort, unconsciously, as of course – of all I have ever thought of your mind and heart. You have the greatest soul, the noblest nature, the sweetest, most loving heart I have ever known, and my love, my reverence, my admiration for you, you have increased in one evening as I should have thought only a lifetime of intimate, loving association could have increased them. You are more wonderful and lovely in my eyes than you ever were before; and my pride and joy and gratitude that you should love me with such a perfect love are beyond all expression, except in some great poem which I cannot write. Your own, Woodrow",1
"Was playng 9 doors game and gt racing on phone lol You're as much a conspiracy theorist as anybody else Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",0
Did you show him and wot did he say or could u not c him 4 dust?,0
"My dear Friend, Yes, I have told you, and repeat it: I love you dearly. You certainly said the same thing to me, I begin to know the world. I will tell you what I suggest, now: pay attention. I don’t want to remain a shopgirl, but a little more my own mistress, and would therefore like to find someone to keep me. If I did not love you, I would try to get money from you; I would say to you, you shall begin by renting me a room and furnishing it; only as you told me that you are not rich, you can take me to your own place. It will not cost you anymore rent, nor more for your table and the rest of your housekeeping. To keep me and my headdress will be the only expense, and for those give me one hundred livres a month, and that will include everything. Thus we could both live happily, and you would never again have to complain about my refusal. If you love me, accept this proposal; but if you do not love me, then let each of us try his luck elsewhere. Good-by, I embrace you heartily, Jeanne Rancon",1
"Cat: my cat: If only you would write to me: My love, oh Cat. This is not, as it seems from the address above, a dive, a joint, saloon, etc.  but the honourable & dignified headquarters of the dons of the University of Chicago. I love you.  That is all I know.  But all I know, too, is that I am writing into space: the kind of dreadful, unknown space I am just going to enter.  I am going to Iowa, Illinois, Idaho, Indindiana, but these, though mis-spelt, *are* on the map.  You are not. Have you forgotten me?  I am the man you used to say you loved.  I used to sleep in your arms – do you remember?  But you never write. You are perhaps mindless of me.  I am not of you.  I love you. There isn’t a moment of any hideous day when I do not say to myself. ‘It will be alright.  I shall go home.  Caitlin loves me.  I love Caitlin.’  But perhaps you have forgotten.  If you have forgotten, or lost your affection for me, please, my Cat, let me know.  I Love You. Dylan",1
"Oh don't say that, the Mexicans will just come to Canada to do the jobs the lazy Canadians won't do...lol",0
" You fear, sometimes, I do not love you so much as you wish? My dear Girl I love you ever and ever and without reserve. The more I have known you the more have I lov’d. In every way – even my jealousies have been agonies of Love, in the hottest fit I ever had I would have died for you. I have vex’d you too much. But for Love! Can I help it? You are always new. The last of your kisses was ever the sweetest; the last smile the brightest; the last movement the gracefullest. When you pass’d my window home yesterday, I was fill’d with as much admiration as if I had then seen you for the first time. You uttered a half complaint once that I only lov’d your Beauty. Have I nothing else then to love in you but that? Do not I see a heart naturally furnish’d with wings imprison itself with me? No ill prospect has been able to turn your thoughts a moment from me. This perhaps should be as much a subject of sorrow as joy – but I will not talk of that. Even if you did not love me I could not help an entire devotion to you: how much more deeply then must I feel for you knowing you love me. My Mind has been the most discontented and restless one that ever was put into a body too small for it. I never felt my Mind repose upon anything with complete and undistracted enjoyment – upon no person but you. When you are in the room my thoughts never fly out of window: you always concentrate my whole senses. The anxiety shown about our Love in your last note is an immense pleasure to me; however you must not suffer such speculations to molest you any more: not will I any more believe you can have the least pique against me. Brown is gone out — but here is Mrs Wylie — when she is gone I shall be awake for you. — Remembrances to your Mother. Your affectionate, J. Keats",1
"Do you know, when you have told me to think of you, I have been feeling ashamed of thinking of you so much, of thinking of only you–which is too much, perhaps. Shall I tell you? It seems to me, to myself, that no man was ever before to any woman what you are to me–the fulness must be in proportion, you know, to the vacancy…and only I know what was behind–the long wilderness without the blossoming rose…and the capacity for happiness, like a black gaping hole, before this silver flooding. Is it wonderful that I should stand as in a dream, and disbelieve–not you–but my own fate? Was ever any one taken suddenly from a lampless dungeon and placed upon the pinnacle of a mountain, without the head turning round and the heart turning faint, as mine do? And you love me more, you say?–Shall I thank you or God? Both,–indeed–and there is no possible return from me to either of you! I thank you as the unworthy may.. and as we all thank God. How shall I ever prove what my heart is to you? How will you ever see it as I feel it? I ask myself in vain. Have so much faith in me, my only beloved, as to use me simply for your own advantage and happiness, and to your own ends without a thought of any others–that is all I could ask you without any disquiet as to the granting of it–May God bless you!",1
"But let me have this letter, containing nothing but your love; and tell me that you give me your lips, your hair, all that face that I have possessed, and tell me that we embrace – you and I! O God, O God, when I think of it, my throat closes, my sight is troubled; my knees fail, ah, it is horrible to die, it is also horrible to love like this! What longing, what longing I have for you! I beg you to let me have the letter I ask. I am dying. Farewell.",1
Haha... They cant what... At the most tmr forfeit... haha so how? I'm at home. Please call I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0
"And when I have reasoned it all out, and set metes and bounds for your love that it may not pass, lo, a letter from Clara, and in one sweet, ardent, pure, Edenic page, her love overrides my boudaries as the sea sweeps over rocks and sands alike, crushes my barriers into dust out of which they were builded, over whelms me with its beauty, bewilders me with its sweetness, charms me with its purity, and loses me in its great shoreless immensity.",1
"Aight yo, dats straight dogg I'll text carlos and let you know, hang on Go where n buy? Juz buy when we get there lar.",0
"If only I were a clever woman, I could describe to you my gorgeous bird, how you unite in yourself the beauties of form, plumage, and song! I would tell you that you are the greatest marvel of all ages, and I should only be speaking the simple truth. But to put all this into suitable words, my superb one, I should require a voice far more harmonious than that which is bestowed upon my species – for I am the humble owl that you mocked at only lately, therefore, it cannot be. I will not tell you to what degree you are dazzling and to the birds of sweet song who, as you know, are none the less beautiful and appreciative. I am content to delegate to them the duty of watching, listening and admiring, while to myself I reserve the right of loving; this may be less attractive to the ear, but it is sweeter far to the heart. I love you, I love you. my Victor; I can not reiterate it too often; I can never express it as much as I feel it. I recognise you in all the beauty that surrounds me in form, in colour, in perfume, in harmonious sound: all of these mean you to me. You are superior to all. I see and admire – you are all! You are not only the solar spectrum with the seven luminous colours, but the sun himself, that illumines, warms, and revivifies! This is what you are, and I am the lowly woman that adores you. Juliette",1
"Your all just jealous. Jim Carey is great, Will Ferrell is funny, people just have different tastes in humor. And Fantastic Four was a good movie so Jessica Alba isn't a bad actor and she was good in Idle Hand as well. And whats wrong with Morgan Freeman?",0
"Sophie, To be with the people one loves, says La Bruyere is enough — to dream you are speaking to them, not speaking to them, thinking of them, thinking of the most indifferent things, but by their side, nothing else matters. O mon amie, how true that is! and it is also true that when one acquires such a habit, it becomes a necessary part of one’s existence. Alas! I well know, I should know too well, since the three months that I sigh, far away from thee, that I possess thee no more, than my happiness has departed. However, when every morning I wake up, I look for you, it seems to me that half of myself is missing, and that is too true. Twenty times during the day, I ask myself where you are; judge how strong the illusion is, and how cruel it is to see it vanish. When I go to bed, I do not fail to make room for you; I push myself quite close to the wall and leave a great empty space in my small bed. This movement is mechanical, these thoughts are involuntary. Ah! how one accustoms oneself to happiness. Alas! one only knows it well when one has lost it, and I’m sure we have only learnt to appreciate how necessary we are to each other, since the thunderbolt has parted us. The source of our tears has not dried up, dear Sophie; we cannot become healed; we have enough in our hearts to love always, and, because of that, enough to weep always. Gabriel",1
"Ya ok, then had dinner?",0
"I would have liked to have dined with you today, after finishing your essay – that my eyes, and lips, I do not exactly mean my voice, might have told you that they had raised you in my esteem.  What a cold word!  I would say love, if you will promise not to dispute about its propriety, when I want to express an increasing affection, founded on a more intimate acquaintance with your heart and understanding. I shall cork up all my kindness – yet the fine volatile essence may fly off in my walk – you know not how much tenderness for you may escape in a voluptuous sigh, should the air, as is often the case, give a pleasurable movement to the sensations, that have been clustering round my heart, as I read this morning – reminding myself, every now and then, that the writer loved me. Voluptuous is often expressive of a meaning I do not now intend to give, I would describe one of those moments, when the senses are exactly tuned by the ringing tenderness of the heart and according reason entices you to live in the present moment, regardless of the past or future – it is not rapture – it is sublime tranquility. I have felt it in your arms – hush!  Let not the light see, I was going to say hear it – these confessions should only be uttered – you know where, when the curtains are up – and all the world shut out – Ah me! I wish I may find you at home when I carry this letter to drop it in the box, – that I may drop a kiss with it into your heart, to be embalmed, till me meet, closer.",1
"Nothing could have given me greater pleasure that to get news of you. The prospect of remaining two months without hearing about you had been extremely disagreeable to me: that is to say, your little note was more than welcome. I hope you are laying up a stock of good air and that you will come back to us in October. As for me, I think I shall not go anywhere; I shall stay in the country, where I spend the whole day in front of my open window or in the garden. We have promised each other — haven’t we? — to be at least great friends. If you will only not change your mind! For there are no promises that are binding; such things cannot be ordered at will. It would be a fine thing, just the same, in which I hardly dare believe, to pass our lives near each other, hypnotized by our dreams: your patriotic dream, our humanitarian dream, and our scientific dream. Of all those dreams the last is, I believe, the only legitimate one. I mean by that that we are powerless to change the social order and, even if we were not, we should not know what to do; in taking action, no matter in what direction, we should never be sure of not doing more harm than good, by retarding some inevitable evolution. From the scientific point of view, on the contrary, we may hope to do something; the ground is solider here, and any discovery that we may make, however small, will remain acquired knowledge. See how it works out: it is agreed that we shall be great friends, but if you leave France in a year it would be an altogether too Platonic friendship, that of two creatures who would never see each other again. Wouldn’t it be better for you to stay with me? I know that this question angers you, and that you don’t want to speak of it again — and then, too, I feel so thoroughly unworthy of you from every point of view. I thought of asking your permission to meet you by chance in Fribourg. But you are staying there, unless I am mistaken, only one day, and on that day you will of course belong to our friends the Kovalskis. Believe me your very devoted Peirre Curie",1
"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",0
"My Darling — I don’t like it at all. All the Chairs are staring at me in the most frightful way — And there is a Lady on the Mantel piece who has taken a Great objection to me — and I’m awfully scared — This is no place for a person with a nice cheerful disposition like me — it looks like those parlors in the Novels where they plot things — All night long the train has not been flying over but going pim de pim over Great fields of snow — vast plains of snow — Great bare Countries covered with snow (Walt Whitman could have written ’em up fine) and over all this the Moon shining — and across the window always a Golden shower of sparks — from the locomotive — it was quite worth seeing and I lay there looking out on it all and thinking of you — of you, you dearest sweetest best darling — The City is covered in snow and little sleighs rushing madly about — All things go in sliders of course. I send you many little missives along the way — Hope they arrived! — I must go now and wash the soot off and have my Breakfast. Give my love to Dear Dear No. 11 and to that musty little dear Home No. 6 and for your dear self my heart is overflowing with just the most unoriginal old fashionest sort of love. Write to me — and tell me — I go now to splash Your Isadora",1
"It's a classic movie and the hotel it is based on (The Stanley Hotel) is really supposed to be haunted. My wife and I almost crashed off the road driving by it in the middle of a snow storm. At the time of the near accident, I was kidding around saying, ""I'm coming for you Danny boy!"" Ever since then I've been prohibited from doing impersonations while driving.",0
"I know that when two wayfarers ‘take shelter under the same tree and slake their thirst in the same river’ it has all been determined by their karma from a previous life. For the past few years you and I have shared the same pillow as man and wife who had intended to live and grow old together, and I have become as attached to you as your own shadow. This is what I believed, and I think this is what you have also thought about us. But now I have learnt about the final enterprise on which you have decided and, though I cannot be with you to share the grand moment, I rejoice in the knowledge of it. It is said that (on the eve of his final battle) the Chinese general, Hsiang Yü, valiant warrior though he was, grieved deeply about leaving Lady Yü, and that (in our own country) Kiso Yoshinaka lamented his parting from Lady Matsudono. I have now abandoned all hope about our future together in this world, and (mindful of their example) I have resolved to take the ultimate step while you are still alive. I shall be waiting for you at the end of what they call the road to death. I pray that you may never, never forget the great bounty, deep as the ocean, high as the mountains, that has been bestowed upon us for so many years by our lord, Prince Hideyori.",1
What r u cooking me for dinner?,0
" I strongly suspect Al-Sadr's self preservation instinct is going to kick in near the end of 72 hours if pressure mounts and the odds don't look in his favor. But, I'm an optimist. Glad they are planning for the worst, though.",0
